hf_distilgpt2,hf_gpt2,hf_tiny_gpt2,mean_across_models,subtype
-0.03069686889648473,-0.04727471669514971,-0.0002778371175129024,-0.026083140903049116,pp_plural_attractor_behind
-0.09322587649027497,0.030815555935814143,0.001053537641252933,-0.020452260971069298,object_relative_clause_plural_embedded_who
-0.06413796742757168,0.004547246297200403,0.0025103251139322325,-0.019026798672146347,pp_plural_attractor_near
0.015764323491898824,0.13902731168837795,0.0018751432025242432,0.05222225946093367,object_relative_clause_plural_embedded_that
0.15940558058874943,0.187790551355907,-0.000982182366507156,0.11540464985938309,object_relative_clause_that
0.20707740783691397,0.17084077199300118,0.001253890991211115,0.12639069027370875,pp_plural_attractor_beside
0.2132720311482748,0.18267701466878278,-0.0005985260009767401,0.13178350660536028,pp_singular_attractor_with
0.10783729553222665,0.3043687820434572,0.0001239776611328125,0.13744335174560554,pp_plural_attractor_with
0.3096591574805123,0.19515172498566785,-0.0011383380208693783,0.1678908481484369,object_relative_clause_who
0.2570702870686848,0.28911018371582015,-0.0008228302001953125,0.18178588019476985,pp_singular_attractor_near
0.2938913915838513,0.3927081482751027,-0.0025946583066669415,0.22800162718409567,plural_object_relative_clause_that
0.4355227788289387,0.48155905405680344,-0.0010105133056640624,0.30535710652669273,pp_singular_attractor_beside
0.5237154006958007,0.46454919179280596,-0.001076253255208215,0.3290627797444661,pp_singular_attractor_behind
0.3407437801361084,0.7568552017211913,0.0048594792683919865,0.36748615370856386,simple_singular
1.2640542189280195,1.4729412873586014,-0.0016512552897136156,0.9117814169989691,simple_plural
